customer_id,Recency,Frequency,Monetary,AvgOrderValue,PurchaseRate,CLV_1yr,R,F,M,RFM_Score,RFM_Segment,Cluster,Segment
C00000,8,6,818.44,136.4066667,0.016438356,818.44,5,3,3,11,Loyalists,3,At-Risk
C00001,387,2,76.81,38.405,0.005479452,76.81,1,1,1,3,Dormant,2,Dormant
C00002,122,3,296.22,98.74,0.008219178,296.22,2,2,2,6,At-Risk,0,At-Risk
C00003,113,5,517.4,103.48,0.01369863,517.4,3,3,3,9,At-Risk,0,At-Risk
C00004,17,15,4198.4934,279.89956,0.04109589,4198.4934,5,5,5,15,Champions,1,Loyalists
C00005,17,12,4142.6634,345.22195,0.032876712,4142.6634,5,4,5,14,Champions,1,Loyalists
C00006,16,16,5204.53,325.283125,0.043835616,5204.53,5,5,5,15,Champions,1,Loyalists
C00007,349,1,32.78,32.78,0.002739726,32.78,1,1,1,3,Dormant,2,Dormant
C00008,120,5,382.58,76.516,0.01369863,382.58,2,3,3,8,At-Risk,0,At-Risk
C00009,138,7,817.93,116.8471429,0.019178082,817.93,2,3,3,8,At-Risk,0,At-Risk
C00010,17,10,2445.4,244.54,0.02739726,2445.4,5,4,4,13,Champions,3,At-Risk
C00011,288,1,57.97,57.97,0.002739726,57.97,1,1,1,3,Dormant,2,Dormant
C00012,266,2,37.01,18.505,0.005479452,37.01,1,1,1,3,Dormant,2,Dormant
C00013,18,15,4372.74,291.516,0.04109589,4372.74,4,5,5,14,Champions,1,Loyalists
C00014,14,19,5820.3334,306.3333368,0.052054795,5820.3334,5,5,5,15,Champions,1,Loyalists
C00015,22,17,5102.41,300.1417647,0.046575342,5102.41,4,5,5,14,Champions,1,Loyalists
C00016,45,11,1540.8,140.0727273,0.030136986,1540.8,4,4,4,12,Loyalists,3,At-Risk
C00017,196,2,195.63,97.815,0.005479452,195.63,2,1,2,5,Dormant,2,Dormant
C00018,60,2,353.13,176.565,0.005479452,353.13,3,1,2,6,At-Risk,0,At-Risk
C00019,42,8,976.92,122.115,0.021917808,976.92,4,4,3,11,Loyalists,3,At-Risk
C00020,151,2,92.81,46.405,0.005479452,92.81,2,1,1,4,Dormant,2,Dormant
C00021,12,15,3978.57,265.238,0.04109589,3978.57,5,5,5,15,Champions,1,Loyalists
C00022,8,8,1099.29,137.41125,0.021917808,1099.29,5,4,4,13,Champions,3,At-Risk
C00023,53,6,950.11,158.3516667,0.016438356,950.11,3,3,3,9,At-Risk,3,At-Risk
C00024,36,10,1427.09,142.709,0.02739726,1427.09,4,4,4,12,Loyalists,3,At-Risk
C00025,85,1,138.08,138.08,0.002739726,138.08,3,1,2,6,At-Risk,0,At-Risk
C00026,10,17,4965.28,292.0752941,0.046575342,4965.28,5,5,5,15,Champions,1,Loyalists
C00027,180,2,198.91,99.455,0.005479452,198.91,2,1,2,5,Dormant,0,At-Risk
C00028,123,7,653.69,93.38428571,0.019178082,653.69,2,3,3,8,At-Risk,0,At-Risk
C00029,12,16,4227.9,264.24375,0.043835616,4227.9,5,5,5,15,Champions,1,Loyalists
C00030,119,3,414.6,138.2,0.008219178,414.6,3,2,3,8,At-Risk,0,At-Risk
C00031,2,23,6851.76,297.9026087,0.063013699,6851.76,5,5,5,15,Champions,1,Loyalists
C00032,11,11,3326.28,302.3890909,0.030136986,3326.28,5,4,5,14,Champions,1,Loyalists
C00033,368,1,42.98,42.98,0.002739726,42.98,1,1,1,3,Dormant,2,Dormant
C00034,398,1,28.28,28.28,0.002739726,28.28,1,1,1,3,Dormant,2,Dormant
C00035,369,1,34.77,34.77,0.002739726,34.77,1,1,1,3,Dormant,2,Dormant
C00036,36,6,744.39,124.065,0.016438356,744.39,4,3,3,10,Loyalists,3,At-Risk
C00037,11,4,1450.6634,362.66585,0.010958904,1450.6634,5,2,4,11,Loyalists,3,At-Risk
C00038,141,4,516.65,129.1625,0.010958904,516.65,2,2,3,7,At-Risk,0,At-Risk
C00039,71,8,1118.67,139.83375,0.021917808,1118.67,3,4,4,11,Loyalists,3,At-Risk
C00040,13,18,5737.15,318.7305556,0.049315068,5737.15,5,5,5,15,Champions,1,Loyalists
C00041,51,9,1371.34,152.3711111,0.024657534,1371.34,4,4,4,12,Loyalists,3,At-Risk
C00042,9,19,5398.94,284.1547368,0.052054795,5398.94,5,5,5,15,Champions,1,Loyalists
C00043,339,3,241.52,80.50666667,0.008219178,241.52,1,2,2,5,Dormant,2,Dormant
