customer_id,transaction_id,purchase_date,revenue,true_segment,year_month,dow,Segment,RFM_Score,CLV_1yr
C00000,T0000000,10-11-2024,82.36,Loyalist,2024-11,Sunday,At-Risk,11,818.44
C00000,T0000001,05-11-2024,169.37,Loyalist,2024-11,Tuesday,At-Risk,11,818.44
C00000,T0000002,15-11-2024,138.3,Loyalist,2024-11,Friday,At-Risk,11,818.44
C00000,T0000003,23-12-2024,116.19,Loyalist,2024-12,Monday,At-Risk,11,818.44
C00000,T0000004,17-12-2024,189.33,Loyalist,2024-12,Tuesday,At-Risk,11,818.44
C00000,T0000005,23-12-2024,122.89,Loyalist,2024-12,Monday,At-Risk,11,818.44
C00001,T0000006,10-12-2023,41.36,Dormant,2023-12,Sunday,Dormant,3,76.81
C00001,T0000007,29-11-2023,35.45,Dormant,2023-11,Wednesday,Dormant,3,76.81
C00002,T0000008,31-08-2024,106.42,At-Risk,2024-08,Saturday,At-Risk,6,296.22
C00002,T0000009,07-08-2024,97.83,At-Risk,2024-08,Wednesday,At-Risk,6,296.22
C00002,T0000010,18-07-2024,91.97,At-Risk,2024-07,Thursday,At-Risk,6,296.22
C00003,T0000011,22-08-2024,104.52,At-Risk,2024-08,Thursday,At-Risk,9,517.4
C00003,T0000012,02-08-2024,62.2,At-Risk,2024-08,Friday,At-Risk,9,517.4
C00003,T0000013,11-08-2024,88.89,At-Risk,2024-08,Sunday,At-Risk,9,517.4
C00003,T0000014,09-09-2024,131.32,At-Risk,2024-09,Monday,At-Risk,9,517.4
C00003,T0000015,27-07-2024,130.47,At-Risk,2024-07,Saturday,At-Risk,9,517.4
C00004,T0000016,18-11-2024,256.22,Champion,2024-11,Monday,Loyalists,15,4198.4934
C00004,T0000017,11-12-2024,219.33,Champion,2024-12,Wednesday,Loyalists,15,4198.4934
C00004,T0000018,26-10-2024,280.05,Champion,2024-10,Saturday,Loyalists,15,4198.4934
C00004,T0000019,14-12-2024,465.3234,Champion,2024-12,Saturday,Loyalists,15,4198.4934
C00004,T0000020,25-10-2024,319.43,Champion,2024-10,Friday,Loyalists,15,4198.4934
C00004,T0000021,12-12-2024,133.43,Champion,2024-12,Thursday,Loyalists,15,4198.4934
C00004,T0000022,01-12-2024,258.25,Champion,2024-12,Sunday,Loyalists,15,4198.4934
C00004,T0000023,23-11-2024,340.55,Champion,2024-11,Saturday,Loyalists,15,4198.4934
C00004,T0000024,10-11-2024,453.88,Champion,2024-11,Sunday,Loyalists,15,4198.4934
C00004,T0000025,29-10-2024,238.03,Champion,2024-10,Tuesday,Loyalists,15,4198.4934
C00004,T0000026,02-11-2024,335.48,Champion,2024-11,Saturday,Loyalists,15,4198.4934
C00004,T0000027,02-11-2024,163.83,Champion,2024-11,Saturday,Loyalists,15,4198.4934
C00004,T0000028,22-11-2024,134.79,Champion,2024-11,Friday,Loyalists,15,4198.4934
C00004,T0000029,14-11-2024,302.28,Champion,2024-11,Thursday,Loyalists,15,4198.4934
C00004,T0000030,14-11-2024,297.62,Champion,2024-11,Thursday,Loyalists,15,4198.4934
